time_days,E
0,-1.64597e+35
1,-1.64597e+35
2,-1.64597e+35
3,-1.64597e+35
4,-1.64597e+35
5,-1.64597e+35
6,-1.64597e+35
7,-1.64597e+35
8,-1.64597e+35
9,-1.64597e+35
10,-1.64597e+35
11,-1.64597e+35
12,-1.64597e+35
13,-1.64597e+35
14,-1.64597e+35
15,-1.64597e+35
16,-1.64597e+35
17,-1.64597e+35
18,-1.64597e+35
19,-1.64597e+35
20,-1.64597e+35
21,-1.64597e+35
22,-1.64597e+35
23,-1.64597e+35
24,-1.64597e+35
25,-1.64597e+35
26,-1.64597e+35
27,-1.64597e+35
28,-1.64597e+35
29,-1.64597e+35
30,-1.64597e+35
31,-1.64597e+35
32,-1.64597e+35
33,-1.64597e+35
34,-1.64597e+35
35,-1.64597e+35
36,-1.64597e+35
37,-1.64597e+35
38,-1.64597e+35
39,-1.64597e+35
40,-1.64597e+35
41,-1.64597e+35
42,-1.64597e+35
43,-1.64597e+35
44,-1.64597e+35
45,-1.64597e+35
46,-1.64597e+35
47,-1.64597e+35
48,-1.64597e+35
49,-1.64597e+35
50,-1.64597e+35
51,-1.64597e+35
52,-1.64597e+35
53,-1.64597e+35
54,-1.64597e+35
55,-1.64597e+35
56,-1.64597e+35
57,-1.64597e+35
58,-1.64597e+35
59,-1.64597e+35
60,-1.64597e+35
61,-1.64597e+35
62,-1.64597e+35
63,-1.64597e+35
64,-1.64597e+35
65,-1.64597e+35
66,-1.64597e+35
67,-1.64597e+35
68,-1.64597e+35
69,-1.64597e+35
70,-1.64597e+35
71,-1.64597e+35
72,-1.64597e+35
73,-1.64597e+35
74,-1.64597e+35
75,-1.64597e+35
76,-1.64597e+35
77,-1.64597e+35
78,-1.64597e+35
79,-1.64597e+35
80,-1.64597e+35
81,-1.64597e+35
82,-1.64597e+35
83,-1.64597e+35
84,-1.64597e+35
85,-1.64597e+35
86,-1.64597e+35
87,-1.64597e+35
88,-1.64597e+35
89,-1.64597e+35
90,-1.64597e+35
91,-1.64597e+35
92,-1.64597e+35
93,-1.64597e+35
94,-1.64597e+35
95,-1.64597e+35
96,-1.64597e+35
97,-1.64597e+35
98,-1.64597e+35
99,-1.64597e+35
100,-1.64597e+35
101,-1.64597e+35
102,-1.64597e+35
103,-1.64597e+35
104,-1.64597e+35
105,-1.64597e+35
106,-1.64597e+35
107,-1.64597e+35
108,-1.64597e+35
109,-1.64597e+35
110,-1.64597e+35
111,-1.64597e+35
112,-1.64597e+35
113,-1.64597e+35
114,-1.64597e+35
115,-1.64597e+35
116,-1.64597e+35
117,-1.64597e+35
118,-1.64597e+35
119,-1.64597e+35
