time_days,xe,ye,xj,yj
0,1.496e+11,0,-7.7792e+11,0
1,1.49578e+11,2.57363e+09,-7.77919e+11,1.12867e+09
2,1.49511e+11,5.14651e+09,-7.77917e+11,2.25733e+09
3,1.49401e+11,7.71786e+09,-7.77913e+11,3.386e+09
4,1.49246e+11,1.02869e+10,-7.77907e+11,4.51465e+09
5,1.49047e+11,1.28529e+10,-7.779e+11,5.64329e+09
6,1.48804e+11,1.54152e+10,-7.77891e+11,6.77193e+09
7,1.48516e+11,1.79728e+10,-7.7788e+11,7.90055e+09
8,1.48185e+11,2.05251e+10,-7.77868e+11,9.02915e+09
9,1.4781e+11,2.30714e+10,-7.77854e+11,1.01577e+10
10,1.47391e+11,2.56108e+10,-7.77838e+11,1.12863e+10
11,1.46929e+11,2.81427e+10,-7.77821e+11,1.24148e+10
12,1.46423e+11,3.06662e+10,-7.77802e+11,1.35433e+10
13,1.45874e+11,3.31806e+10,-7.77782e+11,1.46718e+10
14,1.45281e+11,3.56853e+10,-7.7776e+11,1.58003e+10
15,1.44646e+11,3.81793e+10,-7.77736e+11,1.69287e+10
16,1.43968e+11,4.06621e+10,-7.7771e+11,1.80571e+10
17,1.43247e+11,4.31328e+10,-7.77683e+11,1.91854e+10
18,1.42484e+11,4.55908e+10,-7.77655e+11,2.03137e+10
19,1.41678e+11,4.80352e+10,-7.77624e+11,2.1442e+10
20,1.40831e+11,5.04655e+10,-7.77593e+11,2.25702e+10
21,1.39942e+11,5.28808e+10,-7.77559e+11,2.36984e+10
22,1.39011e+11,5.52804e+10,-7.77524e+11,2.48265e+10
23,1.3804e+11,5.76637e+10,-7.77487e+11,2.59546e+10
24,1.37027e+11,6.003e+10,-7.77448e+11,2.70826e+10
25,1.35974e+11,6.23784e+10,-7.77408e+11,2.82105e+10
26,1.34881e+11,6.47084e+10,-7.77367e+11,2.93384e+10
27,1.33748e+11,6.70193e+10,-7.77323e+11,3.04663e+10
28,1.32575e+11,6.93103e+10,-7.77278e+11,3.1594e+10
29,1.31363e+11,7.15808e+10,-7.77232e+11,3.27217e+10
30,1.30112e+11,7.38301e+10,-7.77183e+11,3.38494e+10
31,1.28823e+11,7.60575e+10,-7.77133e+11,3.49769e+10
32,1.27495e+11,7.82625e+10,-7.77082e+11,3.61044e+10
33,1.2613e+11,8.04443e+10,-7.77029e+11,3.72318e+10
34,1.24727e+11,8.26022e+10,-7.76974e+11,3.83592e+10
35,1.23288e+11,8.47357e+10,-7.76917e+11,3.94864e+10
36,1.21812e+11,8.68442e+10,-7.76859e+11,4.06136e+10
37,1.20299e+11,8.89269e+10,-7.76799e+11,4.17407e+10
